ID,title,Directed by ,Written by,Produced by ,Starring,Cinematography,Edited by ,Music by,Produced companies,distributed by,Running time, budget , box office , net profit/loss 
95,Blackhat,Michael Mann,Morgan Davis Foehl,"Thomas Tull, Michael Mann, Jon Jashni","Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom",Stuart Dryburgh,"Joe Walker, Stephen E. Rivkin, Jeremiah ODriscoll, Mako Kamitsuna, Kevin Stitt","Harry Gregson-Williams, Atticus Ross, Leo Ross ","Legendary Pictures, Forward Pass",Universal Pictures,133 minutes ," $7,00,00,000.00 "," $1,97,00,000.00 "," $-5,03,00,000.00 "
52,The Man with the Iron Fists,RZA,,"Eli Roth, Marc Abraham, Eric Newman, Thomas A. Bliss","Russell Crowe, Cung Le, Lucy Liu, Byron Mann, RZA, Rick Yune, David Bautista, Jamie Chung",Chi Ying Chan,Joe DAugustine,"RZA, Howard Drossin","Strike Entertainment, Arcade Pictures",Universal Pictures,96 minutes ," $1,50,00,000.00 "," $2,05,00,000.00 "," $55,00,000.00 "
133,Kevin Hart: What Now?,"Leslie Small , Tim Story","Kevin Hart, Harry Ratchford, Joey Wells","Jeff Clanagan, Kevin Hart, Blake Morrison, Valerie Bleth Sharp",Kevin Hart,"Cameron Barnett, Christopher Duskin","Peter S. Elliot, Guy Harding",Christopher Lennertz,,Universal Pictures,96 minutes ," $99,00,000.00 "," $2,36,00,000.00 "," $1,37,00,000.00 "
37,Wanderlust,David Wain,"David Wain, Ken Marino","Judd Apatow, Ken Marino, Paul Rudd, David Wain","Paul Rudd, Jennifer Aniston, Justin Theroux, Malin Akerman, Kathryn Hahn, Lauren Ambrose, Alan Alda",Michael Bonvillain,"David Moritz, Robert Nassau",Craig Wedren,"A Hot Dog Productions, Apatow Productions, Relativity Media",Universal Pictures,98 minutes ," $3,50,00,000.00 "," $2,42,00,000.00 "," $-1,08,00,000.00 "
139,The Snow Queen 3,Aleksey Tsitsilin,"Aleksey Tsitsilin, Vladimir Nikolaev, Alexey Zamyslov, Andrey Korenkov","Yuri Moskvin, Vladimir Nikolaev","Natalya Bystrova , Nikolay Bystrov, Filipp Lebedev, Olga Zubkova , Diomid Vinogradov, Olga Shorokhova, Vsevolod Kuznetsov , Irina Deriyenkova, Aleksandr Gruzdev",,Robert Lence,Fabrizio Mancinelli,"Wizart Animation, Beep ",Universal Pictures,89 minutes ," $63,00,000.00 "," $2,46,00,000.00 "," $1,83,00,000.00 "
35,Big Miracle,Ken Kwapis,,Steve Golin Michael Sugar Tim Bevan Liza Chasin Eric Fellner,Drew Barrymore John Krasinski Kristen Bell Dermot Mulroney Tim Blake Nelson Vinessa Shaw Ted Danson,John Bailey,Cara Silverman,Cliff Eidelman,Anonymous Content Working Title Films,Universal Pictures,107 minutes," $4,00,00,000.00 "," $2,47,00,000.00 "," $-1,53,00,000.00 "
24,Your Highness,David Gordon Green,"Danny McBride, Ben Best",Scott Stuber,"Danny McBride, James Franco, Natalie Portman, Zooey Deschanel, Justin Theroux, Toby Jones, Damian Lewis",Tim Orr,Craig Alpert,Steve Jablonsky,,Universal Pictures,102 minutes ," $5,00,00,000.00 "," $2,80,00,000.00 "," $-2,20,00,000.00 "
31,The Thing,Matthijs van Heijningen Jr.,Eric Heisserer,"Marc Abraham, Eric Newman","Mary Elizabeth Winstead, Joel Edgerton, Adewale Akinnuoye-Agbaje, Ulrich Thomsen, Eric Christian Olsen, Trond Espen Seim",Michel Abramowicz,"Julian Clarke, Peter Boyle",Marco Beltrami,"Strike Entertainment, Morgan Creek Productions",Universal Pictures,103 minutes ," $3,80,00,000.00 "," $3,15,00,000.00 "," $-65,00,000.00 "
0,Leap Year,Anand Tucker,"Harry Elfont, Deborah Kaplan","Gary Barber, Chris Bender, Roger Birnbaum, Jonathan Glickman, Jake Weiner","Amy Adams, Matthew Goode, Adam Scott, John Lithgow",Newton Thomas Sigel,Nick Moore,Randy Edelman,Spyglass Entertainment  BenderSpink,"Universal Pictures   , Optimum Releasing   ",100 minutes ," $1,90,00,000.00 "," $3,27,00,000.00 "," $1,37,00,000.00 "
84,Get On Up,Tate Taylor,,"Brian Grazer, Mick Jagger, Tate Taylor, Victoria Pearman","Chadwick Boseman, Nelsan Ellis, Dan Aykroyd, Viola Davis, Craig Robinson, Octavia Spencer",Stephen Goldblatt,Michael McCusker,Thomas Newman,"Imagine Entertainment, Jagged Films, Wyolah Films",Universal Pictures,139 minutes ," $3,00,00,000.00 "," $3,34,00,000.00 "," $34,00,000.00 "
